ID	Family	Species_Name	Lineage	SRA_RunIDs
Dimu	Droseraceae	Dionaea_muscipula	A	SRR2795277,SRR2807621,SRR2807622,SRR2807623,SRR2807624,SRR2807625,SRR2807626,SRR2807627,SRR2807628,SRR2807629,SRR2807630,SRR2807631,SRR2807632,SRR2807633,SRR2807634,SRR2807635,SRR2807636,SRR2807637,SRR2807638,SRR2807639,SRR2807640,SRR2807641,SRR2807643,SRR2807644,SRR2807648,SRR2807649,SRR2807650,SRR2807651,SRR2807652,SRR2807653,SRR2807654,SRR2807655,SRR2807656,SRR2807657,SRR2807658,SRR2807659,SRR2807660,SRR2807661,SRR2807662,SRR916183
MJM3209	Frankeniaceae	Frankenia_salina	A	SRR6435308
YNFJ	Microteaceae	Microtea_debilis	Z0	ERR2040255
TRS2027	Montiaceae	Claytonia_nevadensis	B4	SRR6787487
JM1156	Montiaceae	Claytonia_virginica	B4	SRR6787514
MJM2214	Montiaceae	Phemeranthus_parviflorus	B4	SRR6787508
NepSFB	Nepenthaceae	Nepenthes_alata	A	DRR051743,DRR051744,DRR051745,DRR051746,DRR051747,DRR051748,DRR051749,ERR2040241,SRR4450410,SRR4450412,SRR4450413
Neam	Nepenthaceae	Nepenthes_ampullaria	A	SRR2866506,SRR2866512,SRR2866533
NepveSFB	Nepenthaceae	Nepenthes_ventricosa	A	SRR6435280
MJM2189	Nyctaginaceae	Abronia_bigelovii	B3	SRR6787503
MJM2992	Nyctaginaceae	Abronia_fragrans	B3	SRR6435333
MJM3318	Nyctaginaceae	Abronia_glabrifolia	B3	SRR6435334
MJM3204	Nyctaginaceae	Abronia_latifolia	B3	SRR6435331
MJM3217	Nyctaginaceae	Abronia_maritima	B3	SRR6435332
MJM2246	Nyctaginaceae	Acleisanthes_chenopodioides	B3	SRR6787480
MJM1741	Nyctaginaceae	Acleisanthes_lanceolata	B3	SRR1979679
EGOS	Nyctaginaceae	Allionia_incarnata	B3	ERR2040243,ERR2040244
MJM2362	Nyctaginaceae	Anulocaulis_eriosolenus	B3	SRR6787488
VJPU	Nyctaginaceae	Boerhavia_burbidgeana	B3	ERR2040247,ERR2040248
Boco	Nyctaginaceae	Boerhavia_coccinea_SRA	B3	ERR2040245,ERR2040246,SRR1698114,SRR1698115,SRR1698225,SRR1698226
JAFJ	Nyctaginaceae	Bougainvillea_spectabilis	B3	ERR2040242,SRR10097433
ColovSFB	Nyctaginaceae	Colignonia_ovalifolia	B3	SRR6435326
MJM1714	Nyctaginaceae	Cyphomeris_gypsophiloides	B3	SRR1979687
SFB27	Nyctaginaceae	Guapira_obtusata	B3	SRR1594257
MJM1771	Nyctaginaceae	Mirabilis_multiflora	B3	SRR1979681
MJM2675	Nyctaginaceae	Neea_psychotrioides	B3	SRR6435290
MJM2585	Nyctaginaceae	Nyctaginia_capitata	B3	SRR6787479
SFB28	Nyctaginaceae	Pisonia_aculeata	B3	SRR1594351
MJM2724	Nyctaginaceae	Salpianthus_purpurascens	B3	SRR6435292
MJM3027	Nyctaginaceae	Tripterocalyx_carneus	B3	SRR6435295
SFKQ	Petiveriaceae	Hilleria_latifolia	B3	ERR2040256
AZBL	Petiveriaceae	Petiveria_alliacea	B3	ERR2040253
MJM3358	Petiveriaceae	Trichostigma_octandrum	B3	SRR6435294
RUUB	Physenaceae	Physena_madagascariensis	Z0	ERR2040251
AniSFB	Phytolaccaceae	Anisomeria_littoralis	B3	SRR6787505
MJM1649	Phytolaccaceae	Ercilla_volubilis	B3	SRR1979676
AZBL	Phytolaccaceae	Petiveria_alliacea_H	B3	ERR2040253
MRKX	Phytolaccaceae	Phytolacca_bogotensis	B3	ERR2040254
AeganSFB	Plumbaginaceae	Aegialitis_annulata	A	SRR6435315
MJM3360	Plumbaginaceae	Plumbago_auriculata	A	ERR2040257,SRR4450415
